iter	RMSE
0	18.68903952
1	18.45303125
2	18.22189449
3	17.99801245
4	17.77876416
5	17.56581671
6	17.35895569
7	17.15811852
8	16.96381928
9	16.77435083
10	16.58916664
11	16.40949372
12	16.2252929
13	16.04837454
14	15.875194
15	15.70829111
16	15.54443436
17	15.3834079
18	15.22770585
19	15.07562564
20	14.92787763
21	14.78610948
22	14.64812762
23	14.51294793
24	14.38054204
25	14.25345335
26	14.12993373
27	14.0077326
28	13.89110956
29	13.77771029
30	13.66605439
31	13.55760804
32	13.45283102
33	13.34913346
34	13.2509289
35	13.15419917
36	13.06098584
37	12.97050925
38	12.8747437
39	12.78609945
40	12.6967407
41	12.60984654
42	12.5260723
43	12.44440451
44	12.36457791
45	12.28782151
46	12.20377857
47	12.12100416
48	12.04096463
49	11.96375218
50	11.88823923
51	11.81511566
52	11.74376505
53	11.67509
54	11.60722655
55	11.54250554
56	11.47915811
57	11.41833714
58	11.3582349
59	11.301044
60	11.24387249
61	11.1881648
62	11.13377477
63	11.08127602
64	11.03053989
65	10.98005644
66	10.93061796
67	10.88277522
68	10.83680435
69	10.79173744
70	10.74810431
71	10.70559993
72	10.6641499
73	10.6232159
74	10.58396589
75	10.545037
76	10.50760848
77	10.47024482
78	10.43467256
79	10.39871302
80	10.36397081
81	10.33059638
82	10.2983048
83	10.26650701
84	10.23528927
85	10.20499758
86	10.17552738
87	10.14684727
88	10.11837103
89	10.09104237
90	10.06455851
91	10.03837699
92	10.01281421
93	9.988131675
94	9.963955091
95	9.940291174
96	9.917371028
97	9.894943963
98	9.872838333
99	9.851254699
100	9.830431984
101	9.81017515
102	9.789912935
103	9.770403385
104	9.751334101
105	9.732163199
106	9.714072357
107	9.696106781
108	9.678773212
109	9.661900802
110	9.645166033
111	9.628747321
112	9.612927853
113	9.597041152
114	9.581719316
115	9.566743059
116	9.551829864
117	9.537633639
118	9.523460075
119	9.509904636
120	9.496465924
121	9.483581072
122	9.470786455
123	9.458487222
124	9.445802662
125	9.433995986
126	9.422621238
127	9.411456933
128	9.399892069
129	9.388924256
130	9.377770549
131	9.367300346
132	9.356976958
133	9.346792372
134	9.336952625
135	9.327156852
136	9.317540243
137	9.308289873
138	9.299138428
139	9.29047915
140	9.281720392
141	9.273176974
142	9.265044001
143	9.256880027
144	9.248907993
145	9.241135463
146	9.233620009
147	9.226260978
148	9.219153312
149	9.211852952
150	9.204950023
151	9.198213627
152	9.191318086
153	9.184775104
154	9.178540554
155	9.172457415
156	9.166183939
157	9.160304097
158	9.154646309
159	9.149136725
160	9.143480349
161	9.137878296
162	9.132503554
163	9.1272191
164	9.121977328
165	9.116908249
166	9.111855517
167	9.106992256
168	9.102259849
169	9.097666144
170	9.093203099
171	9.088711447
172	9.084385932
173	9.080101506
174	9.075964439
175	9.071889525
176	9.067998436
177	9.064057074
178	9.060340685
179	9.056522898
180	9.052978793
181	9.049526107
182	9.045929799
183	9.042487804
184	9.038968345
185	9.0357215
186	9.032504231
187	9.029283067
188	9.026162849
189	9.023191532
190	9.020239162
191	9.017453063
192	9.01456303
193	9.011615444
194	9.008849642
195	9.00610809
196	9.003363315
197	9.000778551
198	8.998255875
199	8.995924
200	8.993520826
201	8.991239135
202	8.988868055
203	8.98658825
204	8.984347682
205	8.982158
206	8.9800596
207	8.978007512
208	8.975901386
209	8.97385584
210	8.97181423
211	8.969833139
212	8.967904893
213	8.965991009
214	8.964210766
215	8.962394936
216	8.960653245
217	8.958889907
218	8.957139891
219	8.955500237
220	8.95395335
221	8.951898038
222	8.950306087
223	8.948710884
224	8.946868041
225	8.945443276
226	8.943627498
227	8.94178943
228	8.94032453
229	8.93889487
230	8.937536273
231	8.936269801
232	8.934606082
233	8.933340393
234	8.932054482
235	8.930883719
236	8.929799555
237	8.928325953
238	8.926805813
239	8.925740514
240	8.924364349
241	8.923262506
242	8.922214466
243	8.921159015
244	8.920045877
245	8.91869464
246	8.917713462
247	8.916814879
248	8.915594681
249	8.914661978
250	8.913392269
251	8.912523797
252	8.911390019
253	8.910517678
254	8.909666822
255	8.908848919
256	8.907958422
257	8.907157207
258	8.906059926
259	8.90507304
260	8.904065465
261	8.90334008
262	8.902410947
263	8.901477071
264	8.900733651
265	8.899806176
266	8.89892635
267	8.898082001
268	8.897231789
269	8.896491478
270	8.895589782
271	8.894683216
272	8.894058694
