iter	Passed	Remaining
0	64	165181
1	137	177764
2	207	178040
3	261	168616
4	328	169371
5	396	170258
6	488	179749
7	544	175257
8	613	175374
9	682	175370
10	752	175868
11	820	175732
12	888	175605
13	939	172192
14	995	170317
15	1051	168646
16	1111	167629
17	1164	165768
18	1214	163722
19	1279	163803
20	1343	163735
21	1404	163363
22	1489	165654
23	1564	166689
24	1626	166264
25	1685	165645
26	1744	164992
27	1803	164442
28	1856	163389
29	1909	162343
30	1975	162468
31	2044	162872
32	2112	163145
33	2170	162626
34	2273	165390
35	2326	164474
36	2391	164419
37	2460	164652
38	2524	164554
39	2575	163605
40	2640	163606
41	2704	163475
42	2767	163340
43	2832	163329
44	2909	163947
45	2979	164173
46	3024	163080
47	3089	163022
48	3140	162275
49	3209	162452
50	3276	162518
51	3336	162283
52	3398	162079
53	3465	162164
54	3533	162262
55	3619	163199
56	3692	163494
57	3775	164218
58	3836	163992
59	3886	163308
60	3946	163025
61	4000	162549
62	4052	161958
63	4110	161662
64	4159	161017
65	4219	160784
66	4278	160554
67	4337	160310
68	4390	159821
69	4442	159373
70	4498	159018
71	4581	159646
72	4625	158927
73	4682	158625
74	4742	158448
75	4796	158098
76	4850	157746
77	4914	157690
78	4971	157456
79	5028	157194
80	5079	156776
81	5126	156241
82	5176	155797
83	5226	155349
84	5272	154833
85	5311	154109
86	5373	154031
87	5424	153667
88	5487	153636
89	5536	153224
90	5587	152898
91	5647	152783
92	5698	152456
93	5754	152241
94	5816	152211
95	5870	151948
96	5928	151822
97	5990	151770
98	6046	151598
99	6108	151560
100	6168	151462
101	6220	151188
102	6275	150988
103	6322	150590
104	6382	150496
105	6457	150778
106	6513	150602
107	6570	150442
108	6618	150092
109	6675	149946
110	6737	149914
111	6920	152566
112	6991	152691
113	7094	153519
114	7155	153428
115	7223	153499
116	7278	153293
117	7340	153214
118	7398	153066
119	7463	153066
120	7534	153173
121	7587	152925
122	7646	152807
123	7733	153245
124	7796	153186
125	7857	153086
126	7923	153112
127	7984	153005
128	8051	153035
129	8105	152817
130	8154	152509
131	8203	152206
132	8263	152099
133	8323	151998
134	8379	151819
135	8449	151896
136	8506	151756
137	8560	151542
138	8622	151491
139	8687	151470
140	8741	151279
141	8794	151056
142	8848	150853
143	8911	150812
144	8969	150681
145	9014	150346
146	9059	150012
147	9121	149948
148	9170	149682
149	9227	149541
150	9278	149310
151	9347	149372
152	9402	149208
153	9481	149425
154	9528	149141
155	9578	148889
156	9638	148817
157	9708	148891
158	9768	148795
159	9825	148678
160	9878	148488
161	9947	148541
162	10001	148360
163	10043	148026
164	10099	147878
165	10146	147616
166	10198	147426
167	10240	147083
168	10299	147000
169	10360	146940
170	10417	146818
171	10475	146718
172	10532	146600
173	10581	146372
174	10641	146312
175	10696	146162
176	10745	145943
177	10798	145780
178	10856	145689
179	10913	145572
180	10965	145401
181	11027	145357
182	11095	145389
183	11135	145065
184	11185	144867
185	11248	144837
186	11305	144730
187	11374	144778
188	11428	144635
189	11487	144565
190	11589	145019
191	11751	146220
192	11812	146151
193	11884	146230
194	11953	146258
195	12014	146197
196	12065	146014
197	12110	145756
198	12174	145724
199	12225	145549
200	12283	145445
201	12336	145288
202	12393	145175
203	12461	145201
204	12526	145189
205	12583	145080
206	12635	144916
207	12692	144803
208	12746	144665
209	12803	144556
210	12859	144435
211	12907	144232
212	12955	144031
213	13010	143909
214	13079	143937
215	13131	143775
216	13201	143815
217	13259	143728
218	13316	143624
219	13387	143670
220	13447	143604
221	13524	143713
222	13585	143652
223	13643	143566
224	13696	143420
225	13742	143205
226	13794	143049
227	13850	142942
228	13916	142934
229	13975	142850
230	14033	142769
231	14090	142663
232	14151	142607
233	14216	142591
234	14284	142600
235	14342	142509
236	14392	142349
237	14474	142499
238	14635	143418
239	14698	143370
240	14774	143458
241	14841	143448
242	14901	143369
243	14954	143234
244	15038	143386
245	15117	143489
246	15182	143469
247	15242	143390
248	15307	143360
249	15361	143232
250	15431	143245
251	15480	143068
252	15538	142981
253	15586	142797
254	15631	142585
255	15701	142600
256	15763	142544
257	15830	142537
258	15898	142530
259	15960	142481
260	16022	142426
261	16079	142318
262	16137	142234
263	16204	142219
264	16263	142136
265	16320	142033
266	16367	141852
267	16412	141648
268	16482	141662
269	16530	141490
270	16584	141369
271	16653	141372
272	16722	141376
